sentence	sentiment
用的是高速连拍	neutral
可是定焦也太小气了如果能忍受它缓慢的存储速度的话	positive
工作的时候朋友借了台给我使用了三天	neutral
对焦真的没什么优势比偏红偏假的色彩	negative
晚上拍照比较吃力操作够复杂的	negative
出来的片子更糟感觉手柄还是略小	negative
三星的一些片子	neutral
本不打算看半幅单反	neutral
手柄也太小没有闪光灯	negative
价格日本的在左右	neutral
感谢格力达俱乐部	neutral
洞妖的明显要慢于的除了没有触摸屏以外	positive
但在大光圈长焦和闪光灯上还有不足对焦速度一般	negative
速度奇慢的非常差	negative
手感操控性能画质已然全面落后但体积不小	negative
同样用测试对焦用过/系统的人绝对会受不了的触摸屏	negative
掉皮现象以及上手旧的问题已经明显改观	neutral
尤其是曝光锁定键防抖没有想像中管用	negative
试机的几点感受	neutral
能够用上像这样的对焦系统就好了	positive
但有一个最重要的问题	neutral
特别是电池舱盖因此背景的虚化不足	positive
这头的对焦环色彩的话	negative
弱光环境下以及夜景闪光灯模式	neutral
看上去没有原来的两个盖简洁	neutral
结果对焦和色彩让人失望白平衡只能菜单调	negative
对焦的确非常非常慢但在基本的锐利度表现	negative
虽然看上去专业了	neutral
档的超级功能木有了就一姐夫机的大小	negative
缺点	neutral
最明显的例子就是	neutral
屏幕真的很舒服	positive
肤色偏金黄色外盖分成了三部分	positive
虽被它的美景深深震撼	neutral
对焦的确非常非常慢系列的画质一般	positive
还有对高反差场景的宽容	neutral
光线暗的时候对焦拉风箱照远景效果比许多机子差	negative
这是个大倍率的镜头	neutral
有些类似于与的混合体	neutral
存取慢对焦慢	positive
而是克	neutral
手动对焦有寸万象素的液晶屏有点落伍了	negative
对焦太慢了按键按起来啪啪响	positive
但却够用	neutral
快门延时稍长没有确实有点影响出片率	positive
洞妖一共有四种对焦模式	neutral
同时透露一下香港价格	neutral
虽说画质在中端机算佼佼者	positive
根据几天下来的实拍	neutral
当然这也许是白平衡的问题因为之前的的画质堪称垃圾	positive
像素密度太密了左侧的接口布局有了改变	negative
肩屏小了些的工业设计真是倒退了三十年	negative
各种暗斑彩纹就很恼人了	neutral
只是控制和手感恐怕没有这么舒服机内软件可能有问题	negative
外形设计真的很成功	positive
玩了半年就出掉了主要是边缘成像太差色散严重长焦端光圈显得小了些	positive
基本拍不了车龙	neutral
连续拍摄我试过张以内没有卡顿现象储存红灯一直亮着不影响拍摄	positive
就是成像似乎不像是微单的水平且目前售价也略高	positive
底感差外观既没有时尚	negative
同样用测试对焦但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小	positive
如果再放宽一点要求	neutral
你几乎无法区分和	neutral
最近看到论坛上很多摄友对于的嗤之以鼻	neutral
先说下该机的缺点吧	neutral
还请大家多多指教	neutral
缺点是体积略大外观既没有时尚	negative
最终打算入手了	neutral
只不过应该会耗费不少电力吧	negative
缺点是体积略大我觉得的机身手感很不理想	positive
当然拍完视频后那是比拍照片更加漫长的存储等待时间	neutral
像素密度太密了肩屏显示的信息很多	positive
的镜头也不例外	neutral
缺点万恶的设计师脑袋是有毛病的	neutral
它相机里电池自行放电由来已久机器内闪只有	positive
才能真正用心	neutral
一些常用设置	neutral
新入小黑杂拍几张谈谈感受	neutral
屏幕用这么差的材料	negative
操做感什么的	neutral
价钱不算低但色彩略差于	positive
对焦的速度上并不是很突出六的手动对焦环是假的是对焦环不是变焦环它的手动变焦环很爽	positive
对于新上手的用户来说还是很有作用的	neutral
对焦慢的感光度在的时候也只能说勉强凑合看	negative
艺术效果拍摄时拖尾严重图像很硬	positive
操作的时候小里小气的微距自动对焦较慢	negative
一直很喜欢它的锐利度色泽与对焦速度	positive
一是太小完全不像是消费专业级数码相机的水平电池使用寿命短不过该机器已经设计了外接电源的线孔	positive
长焦是必须的	neutral
因为并不是毫无办法	neutral
原因我不知道	neutral
做工绝对体现的深厚功力	positive
机身手感一般就是不太方便	positive
先唠叨这么多吧	neutral
闪光灯没有闪光灯录像按钮	negative
现在多出来的锁定键做的太	negative
的都好设置的	neutral
具体的请参看前文的镜头介绍	neutral
在网上大家也吵得不可开交	neutral
机身塑料感强轻白平衡只能菜单调	positive
稍逊于单反的机械性能说明他的电子设计和技术较低端	negative
玩了半年就出掉了主要是边缘成像太差色散严重机身塑料感强轻	positive
这和相机的处理器	neutral
在本论坛和无忌都发过开箱作业	neutral
液晶屏回放效果有点艳丽	positive
但是外挂电源毕竟影会影响的便携性小黑虽然部分焦段锐度跟不上	negative
手动对焦有但我没有在包装里面找到高清视频线	negative
不过自己拿脚趾头想想就知道一手揣着	neutral
操作的时候小里小气的真是台强制我不要乱按快门的好机器啊	positive
但照得一塌糊涂	neutral
红圈头除了型号多	neutral
主要是高清视频录制清晰度差对焦的速度上并不是很突出	negative
摆出的机器有真心神机啊	neutral
调回后也就这样了	neutral
